"lon","lat","tmpJan","tmpFeb","tmpMar","tmpApr","tmpMay","tmpJun","tmpJul","tmpAug","tmpSep","tmpOct","tmpNov","tmpDec","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","mtwa","mtco","mat"
90,-20,22.842903137207,24.0128650665283,25.4216117858887,26.6856651306152,28.5112857818604,29.0016708374023,28.3235454559326,28.1487045288086,28.4410018920898,28.619348526001,26.7236633300781,23.7358150482178,23.110969543457,24.5786209106445,26.5006446838379,27.4576683044434,28.6896781921387,29.6666641235352,27.9629020690918,27.2774181365967,27.3680019378662,27.4783878326416,25.5593299865723,22.1474227905273,20.9106464385986,22.9782123565674,24.0261287689209,26.1599998474121,27.6916122436523,28.0603313446045,27.4980621337891,27.5806446075439,27.798002243042,27.7748336791992,25.8313331604004,23.6035499572754,22.0200004577637,22.7435760498047,24.783224105835,26.5756664276123,28.2100028991699,29.611665725708,28.5516128540039,28.0551567077637,27.6439990997314,27.8341865539551,26.0433139801025,23.2895030975342,22.8395099639893,23.0303497314453,25.6790199279785,26.3608226776123,28.0580539703369,28.6008205413818,28.2120895385742,28.0265998840332,28.2316551208496,27.9395027160645,25.7016468048096,23.2499847412109,21.6548233032227,24.0318927764893,25.9588623046875,26.9749889373779,28.0169239044189,28.3524951934814,28.2136993408203,28.1588649749756,28.3041591644287,28.1451454162598,25.9641532897949,24.3007946014404,23.0766048431396,23.4267768859863,24.685474395752,26.4866638183594,28.2040214538574,28.5924892425537,28.2830581665039,28.3895130157471,28.4699954986572,28.2604713439941,26.3499813079834,24.2225704193115,21.2919216156006,23.2107048034668,25.283863067627,26.4741554260254,27.6830520629883,28.8508224487305,28.2266025543213,28.0685348510742,28.1924858093262,28.0693397521973,25.9233226776123,23.5725688934326,22.3991756439209,23.1062431335449,25.1846694946289,26.9166507720947,28.0806350708008,28.8699913024902,28.8056392669678,28.4217624664307,28.4266567230225,28.3096675872803,26.7241477966309,23.6411170959473,22.0370864868164,22.90602684021,24.8870830535889,26.4658184051514,27.3588581085205,28.1724910736084,28.4774074554443,28.4193515777588,28.6866569519043,28.4354686737061,26.9049777984619,23.4274082183838,29.0016708374023,22.842903137207,26.7056733767192
92.5,-20,21.8554859161377,23.2332191467285,25.0912933349609,26.763671875,27.1048412322998,26.9306602478027,26.4880619049072,26.3725776672363,26.6586666107178,27.0457992553711,25.4380016326904,23.0596809387207,22.0316162109375,23.7006969451904,26.2480659484863,27.4263305664062,28.2099990844727,27.2253303527832,26.3171005249023,25.8622608184814,26.0946674346924,26.4661293029785,25.0083312988281,21.5829029083252,20.4287128448486,23.3939304351807,24.3161334991455,25.380334854126,26.1603317260742,26.4806728363037,26.0367774963379,25.9696788787842,26.21533203125,26.3606472015381,25.3720035552979,22.9351615905762,21.5280685424805,22.2535724639893,24.7361354827881,26.5319995880127,27.5258045196533,27.3626689910889,26.6506481170654,26.246129989624,26.1176662445068,26.6272525787354,24.9074821472168,22.9096660614014,22.2459583282471,22.1740913391113,26.0362815856934,26.4091567993164,27.0693473815918,26.6783218383789,26.55885887146,26.2774085998535,26.51416015625,26.3177318572998,24.8933200836182,22.2991809844971,20.8346614837646,23.4534378051758,26.2024059295654,25.6341552734375,27.0540218353271,26.4691638946533,26.5378971099854,26.4943466186523,26.7524852752686,26.5951519012451,25.0266513824463,24.173376083374,22.9483757019043,23.186595916748,24.4161148071289,26.020824432373,27.587085723877,26.7183265686035,26.5757942199707,26.6386947631836,26.9799880981445,26.7362728118896,25.5391540527344,24.1257915496826,20.3378925323486,22.9401702880859,25.3346672058105,27.0391540527344,27.2975788116455,26.8341579437256,26.5854816436768,26.4403171539307,26.6716575622559,26.5701427459717,24.9824848175049,23.2653121948242,22.0959529876709,23.3142738342285,25.8225708007812,27.4441528320312,27.5878963470459,26.9916610717773,26.8846683502197,26.7556324005127,26.9774894714355,27.154016494751,26.1074829101562,22.8072490692139,21.6435394287109,22.3965435028076,25.1128921508789,26.3574867248535,27.2862758636475,26.4608268737793,26.6524105072021,26.6677303314209,26.794153213501,26.9540252685547,25.6533164978027,22.267728805542,27.1048412322998,21.8554859161377,25.5034966468811
95,-20,22.2487106323242,23.7178611755371,25.8767719268799,27.8599967956543,25.4238719940186,24.8676681518555,24.8629055023193,24.7493515014648,24.9223346710205,25.1258029937744,24.1673336029053,23.2812900543213,22.4412937164307,24.6365547180176,27.7496795654297,30.1266670227051,28.5364475250244,24.8616676330566,24.706127166748,24.4716129302979,24.8280029296875,24.8693580627441,23.9689979553223,21.616771697998,20.6925830841064,25.1917839050293,26.7177391052246,27.929328918457,26.97580909729,25.1460018157959,24.5467758178711,24.496452331543,24.7196674346924,24.7087116241455,24.0596656799316,21.8838748931885,21.6280708312988,23.0514354705811,26.7529048919678,29.4626655578613,27.8554859161377,25.4766712188721,24.7890357971191,24.5961322784424,24.5776672363281,25.0188674926758,23.7716503143311,22.962890625,22.2427291870117,23.3071327209473,27.5145034790039,28.7341575622559,27.5741786956787,24.8483200073242,24.7153186798096,24.6233768463135,24.8433246612549,24.7983741760254,24.5008182525635,21.7532196044922,20.2943439483643,23.9715423583984,27.7733745574951,28.0458183288574,27.5201530456543,25.112491607666,24.8886985778809,24.8548316955566,25.1191635131836,24.9951515197754,24.0983200073242,23.840311050415,23.2806339263916,24.3883819580078,26.0015964508057,27.8116569519043,27.521764755249,24.9374904632568,24.9080581665039,25.0467643737793,25.4849910736084,24.8685359954834,23.818323135376,22.791919708252,20.5967636108398,24.0392723083496,27.6612739562988,29.7558250427246,27.2241821289062,24.9008197784424,24.8870906829834,24.8701515197754,25.2749900817871,24.8443450927734,24.0383224487305,23.0032176971436,22.465311050415,24.9223117828369,27.5096664428711,30.3583240509033,29.0362796783447,25.3224964141846,24.9951553344727,25.1532211303711,25.3483200073242,25.5814342498779,24.7941493988037,21.8604717254639,21.6967658996582,23.7560234069824,27.31369972229,29.1074829101562,28.3282146453857,24.8083209991455,24.9814434051514,24.9741897583008,25.2658271789551,25.2927284240723,24.314151763916,22.5419216156006,27.8599967956543,22.2487106323242,24.7586582501729
97.5,-20,21.5238723754883,23.641788482666,24.8048419952393,25.7533321380615,23.8077430725098,23.5486698150635,23.5635471343994,23.3571033477783,23.4976673126221,22.7822551727295,22.0793399810791,21.5380668640137,21.7374248504639,24.6972408294678,27.0551624298096,28.5093364715576,26.8545150756836,23.507007598877,23.2619361877441,23.1664524078369,23.4689998626709,22.9771003723145,22.4130039215088,21.2735481262207,20.7900009155273,25.0303592681885,26.4783897399902,29.3523273468018,26.7999973297119,23.8820018768311,23.1512908935547,23.1322612762451,23.3166694641113,22.8858089447021,21.968334197998,18.7651634216309,20.1087169647217,22.5660743713379,26.6990299224854,30.4813327789307,26.2916126251221,24.0673332214355,23.3793544769287,23.3238716125488,23.3239994049072,22.9362869262695,22.1058177947998,21.6177291870117,20.6612815856934,23.7240924835205,26.6330509185791,28.0891609191895,27.6927299499512,23.9483242034912,23.3177375793457,23.3104782104492,23.5349941253662,23.1241855621338,23.1633205413818,20.7782173156738,19.2749862670898,22.6793003082275,26.9386863708496,30.0266513824463,27.0766010284424,23.9816589355469,23.4499893188477,23.3137035369873,23.6766567230225,23.4588603973389,22.5291576385498,21.6991786956787,21.7741851806641,23.7785606384277,25.6548290252686,27.0983295440674,26.0467624664307,23.7016620635986,23.5338611602783,23.7008056640625,24.008321762085,22.9532108306885,21.4099903106689,19.9943447113037,20.343542098999,23.6732063293457,26.6822452545166,28.0758190155029,24.824182510376,23.6741561889648,23.4306392669678,23.3620872497559,23.851655960083,23.0338592529297,22.3558235168457,21.4870853424072,21.6959571838379,25.2874927520752,27.3411121368408,31.5466499328613,29.6790199279785,24.4024925231934,23.5322513580322,23.8201522827148,23.7449893951416,23.6136989593506,22.9216556549072,20.2604713439941,21.3741855621338,24.1836109161377,27.9628925323486,28.9149856567383,27.5838584899902,23.835823059082,23.6991863250732,23.4951572418213,23.9141578674316,23.1241817474365,22.7008152008057,21.6257934570312,25.7533321380615,21.5238723754883,23.3248523076375
100,-20,17.9251651763916,21.8628578186035,21.3890323638916,22.1526660919189,21.8064575195312,22.0356674194336,22.0412883758545,21.7890357971191,21.8150024414062,19.9958095550537,19.0656719207764,16.7832317352295,18.7890396118164,22.2720718383789,24.456127166748,22.8390026092529,23.372579574585,22.0060024261475,21.7661323547363,21.693229675293,21.521671295166,20.7112922668457,20.2600059509277,19.3174247741699,19.0109729766846,22.1560707092285,24.094841003418,25.5240001678467,23.3148365020752,22.1003398895264,21.7122592926025,21.6658096313477,21.4693355560303,20.2987117767334,19.476001739502,14.5132322311401,17.0596866607666,20.2489337921143,23.8745155334473,25.6473388671875,22.8277492523193,22.2976703643799,22.0006504058838,21.7874221801758,21.7633323669434,20.3966102600098,20.0624866485596,17.8354759216309,17.4233818054199,20.7517795562744,23.7330455780029,23.7966594696045,24.7233829498291,22.78249168396,22.0419273376465,21.9016094207764,21.9191608428955,20.8330516815186,20.4233226776123,18.4290218353271,17.0354709625244,19.020679473877,23.8677310943604,27.307487487793,24.2693462371826,22.3049926757812,21.915319442749,21.8959579467773,21.9033279418945,21.4096660614014,19.8958225250244,18.2903156280518,18.8145046234131,20.5339202880859,22.6959552764893,23.0324954986572,22.853214263916,22.100830078125,22.0935440063477,22.1201553344727,22.2258262634277,20.673376083374,18.8316631317139,16.9838542938232,18.2507972717285,20.2919578552246,21.6741847991943,22.3241577148438,21.6370906829834,22.1383228302002,21.9024124145508,21.8653202056885,21.9458274841309,20.5774116516113,19.7441520690918,18.9257965087891,18.8927326202393,22.8678455352783,24.5467643737793,28.2824878692627,26.5540180206299,22.875825881958,22.0290298461914,22.2903118133545,21.6891555786133,21.0862789154053,20.2591533660889,17.6080532073975,20.2209568023682,22.2974052429199,24.5064430236816,23.2683181762695,24.0096683502197,22.3624935150146,22.230640411377,22.0161266326904,22.1924953460693,20.1895046234131,20.1608238220215,18.38063621521,22.1526660919189,16.7832317352295,20.7218238512675
102.5,-20,14.3109750747681,19.8314361572266,18.669038772583,22.5646648406982,22.3864517211914,22.901668548584,22.8309726715088,22.5383892059326,22.0036716461182,19.49387550354,18.0543403625488,13.7403335571289,16.6954917907715,20.0255260467529,22.9935493469238,22.6436748504639,23.2116146087646,22.7403373718262,22.5522594451904,22.5529079437256,21.5026721954346,20.3812923431396,19.6160068511963,17.5022678375244,16.4725856781006,20.7471466064453,24.3248405456543,22.8276653289795,22.5774192810059,22.6696720123291,22.485164642334,22.4722633361816,21.5630073547363,19.6238746643066,18.2336730957031,12.20871925354,14.9251689910889,18.8064384460449,23.2009677886963,22.4133377075195,22.9516067504883,22.9133377075195,22.9012908935547,22.3380661010742,22.3300075531006,20.2733821868896,19.2524909973145,14.6483812332153,15.3491849899292,18.3071327209473,22.6798267364502,22.9541625976562,24.0838642120361,23.40749168396,22.8290271759033,22.7669296264648,22.3408279418945,20.5185394287109,19.6283187866211,16.6395092010498,15.4007987976074,16.4387855529785,22.8064441680908,25.5516586303711,23.4209575653076,23.0383262634277,22.7282257080078,22.80885887146,22.3541622161865,21.3927345275879,18.5499877929688,16.5725746154785,17.145959854126,18.2767753601074,21.0967578887939,22.0799942016602,22.408052444458,23.089994430542,22.700798034668,22.7161235809326,22.7249984741211,20.1612777709961,17.6633243560791,15.0677347183228,16.3443489074707,17.1803493499756,19.8604774475098,21.2999954223633,22.748384475708,22.7541580200195,22.8766059875488,22.7395095825195,22.2266616821289,20.1645050048828,18.882495880127,17.3233795166016,17.1007957458496,21.1526660919189,22.4515991210938,24.7666568756104,24.2064476013184,23.3866577148438,23.0532169342041,22.9870891571045,21.8791580200195,20.7387008666992,18.8791561126709,16.158863067627,19.1298294067383,20.3767166137695,22.2032146453857,20.4483261108398,23.7983779907227,23.2616558074951,23.0943546295166,22.7830600738525,22.7524929046631,19.3153209686279,18.6658267974854,15.661280632019,22.901668548584,13.7403335571289,19.943818171819
105,-20,12.9448442459106,17.9621505737305,16.8045215606689,22.5656681060791,24.1338710784912,25.5193309783936,25.5180644989014,24.9151649475098,23.9756641387939,21.2148380279541,19.9050045013428,14.285813331604,15.7064599990845,18.1113872528076,20.9548416137695,24.5246658325195,25.3264541625977,25.5253314971924,25.1361236572266,25.1522598266602,23.6496677398682,22.37548828125,20.8876705169678,17.7651710510254,15.6206550598145,19.9192924499512,23.5535507202148,23.0183391571045,24.9535484313965,25.1660022735596,24.8277416229248,25.074520111084,23.8826694488525,21.731294631958,19.2556686401367,13.2616186141968,14.9764614105225,17.4685821533203,22.048713684082,22.8046684265137,25.1251621246338,25.7716617584229,25.4380683898926,24.9058055877686,24.8586673736572,22.6606483459473,20.1291580200195,14.7185459136963,15.4427394866943,18.1883907318115,22.1959609985352,23.88916015625,26.4911251068115,25.9108200073242,25.2774085998535,25.3806419372559,24.8216590881348,22.6806354522705,21.4058208465576,16.9693489074707,15.9136991500854,15.4017171859741,21.0443477630615,25.5208206176758,24.7007961273193,26.0799865722656,25.5024147033691,25.2290210723877,24.6291599273682,23.408863067627,19.6674880981445,17.465311050415,17.3701496124268,17.5598125457764,20.8354721069336,23.2908267974854,24.1830501556396,26.2874927520752,24.9588584899902,25.2588653564453,25.2258262634277,21.9685382843018,18.9124927520752,15.2153177261353,16.2072525024414,16.0080242156982,20.4548320770264,22.4974937438965,25.3886985778809,25.6024856567383,25.3080558776855,24.9967632293701,24.4108257293701,22.2693424224854,20.6408214569092,17.8419303894043,17.2532138824463,20.9758815765381,21.8378887176514,24.4333248138428,24.7822494506836,26.3883266448975,25.9830532073975,25.4564380645752,24.3608207702637,22.8620853424072,20.1408252716064,17.4193477630615,18.8475723266602,19.3396453857422,22.4435367584229,21.189151763916,26.0016040802002,26.57666015625,26.0580558776855,25.2548294067383,25.1974925994873,21.1838607788086,19.7299919128418,15.6120872497559,25.5193309783936,12.9448442459106,20.812077999115
107.5,-20,14.5590391159058,17.8814334869385,17.4390354156494,21.9433345794678,25.4864540100098,28.0510025024414,28.4319324493408,27.4393501281738,26.6349964141846,23.8877449035645,23.014331817627,16.9071025848389,16.4980735778809,17.7934532165527,20.5019416809082,25.01633644104,27.382905960083,28.4360046386719,28.0712890625,27.9245147705078,26.4343318939209,25.3051662445068,23.1963310241699,19.9419403076172,17.4451713562012,19.8878612518311,22.1806468963623,23.9360008239746,27.1725826263428,27.6193332672119,27.6161270141602,27.9216156005859,26.7946662902832,24.7535514831543,22.0440101623535,16.4893608093262,17.2151660919189,17.0989379882812,20.5061359405518,24.2703342437744,27.0571002960205,28.7693290710449,28.2403240203857,27.9219341278076,27.4356689453125,25.6090297698975,22.7124919891357,17.3354778289795,17.4161224365234,19.1741008758545,22.0080547332764,24.1891574859619,28.1814422607422,28.5866508483887,27.9378910064697,28.1314468383789,27.6349906921387,25.5822410583496,24.2274837493896,19.324987411499,18.0757923126221,16.5413780212402,19.2886981964111,25.0733280181885,26.3298263549805,29.0074901580811,28.4701557159424,27.8249893188477,27.0924968719482,25.9491844177246,22.3133201599121,20.1749935150146,19.449182510376,18.6053485870361,21.5427341461182,24.1583290100098,26.0322532653809,28.8983211517334,27.6056365966797,28.2749881744385,27.8791542053223,24.8153076171875,21.7958202362061,17.8096675872803,17.8282146453857,16.9517784118652,21.2935314178467,22.9033241271973,27.0266036987305,28.5541515350342,27.4766025543213,27.2935409545898,26.8524971008301,24.9983768463135,23.5508232116699,20.1717624664307,18.9701538085938,21.7964191436768,22.741117477417,26.1008243560791,26.7693519592285,29.3708229064941,28.976598739624,28.1209545135498,27.1866550445557,25.6572437286377,23.0958194732666,20.3338623046875,20.3862781524658,20.3672351837158,23.3145065307617,22.5766544342041,27.6886978149414,29.3449897766113,29.1249885559082,28.0491828918457,27.7791538238525,24.1935348510742,22.5016536712646,17.7975654602051,28.4319324493408,14.5590391159058,22.6396464506785
110,-20,16.2438812255859,18.7375087738037,19.2741985321045,22.9670066833496,26.3609657287598,28.5843315124512,28.9558029174805,28.0922622680664,27.5299949645996,25.0142002105713,24.0083351135254,18.3432292938232,17.8216190338135,18.8451805114746,21.7796802520752,25.2446670532227,27.842903137207,28.7613296508789,28.5293502807617,28.5441932678223,27.2716636657715,26.248384475708,24.1493358612061,21.0683879852295,18.8506507873535,20.8407173156738,22.1719360351562,24.2466640472412,27.3174209594727,28.0536613464355,28.137414932251,28.3364505767822,27.4939994812012,25.6983852386475,23.2863368988037,18.0174236297607,18.5025844573975,17.8721504211426,21.0229034423828,25.0563335418701,27.6158027648926,29.1176719665527,29.009033203125,28.5712909698486,27.9120006561279,26.4211235046387,24.0408210754395,18.7596664428711,18.4298286437988,19.712495803833,22.3040199279785,24.2483253479004,27.8782119750977,28.8683204650879,28.2887020111084,28.6911201477051,28.1908206939697,26.312084197998,25.2091503143311,20.6362781524658,19.1959571838379,17.9422340393066,19.8459568023682,24.8208236694336,26.8258018493652,29.0166568756104,28.8475742340088,28.3322467803955,27.7158317565918,26.7354679107666,23.5633144378662,21.4814395904541,20.5282173156738,19.3910655975342,22.0983791351318,24.26416015625,26.5919227600098,28.8874931335449,28.1032123565674,28.780632019043,28.32248878479,25.8661155700684,23.0991516113281,19.5161170959473,18.8040237426758,18.1901760101318,21.9919261932373,23.5108242034912,27.4257984161377,28.691650390625,27.7951583862305,27.729829788208,27.3808212280273,25.7540245056152,24.3683223724365,21.1717643737793,20.1822452545166,22.268741607666,23.3774070739746,26.0974903106689,27.2145023345947,29.4083232879639,29.3201484680176,28.5733757019043,27.7541561126709,26.4854679107666,24.2658195495605,21.2499885559082,21.1540260314941,21.2301635742188,23.674991607666,23.3891582489014,27.8548259735107,29.0741500854492,29.2935371398926,28.6475677490234,28.2533226013184,25.4943428039551,23.7133235931396,19.1459560394287,28.9558029174805,16.2438812255859,23.6759764353434
112.5,-20,17.3803234100342,19.4278621673584,20.0848426818848,23.3820056915283,26.6925792694092,28.0583362579346,28.2396793365479,27.9338722229004,27.2336711883545,24.9951667785645,23.8243389129639,19.0712947845459,18.4958076477051,19.6941413879395,22.2096786499023,25.0736694335938,27.5419330596924,27.9129981994629,27.6841907501221,28.0751628875732,27.0109977722168,25.6499996185303,24.0399990081787,21.2845230102539,19.2796802520752,21.093936920166,22.1474266052246,24.0616722106934,26.95290184021,27.9806709289551,27.3803215026855,27.6222629547119,27.0926685333252,25.6064491271973,23.2980003356934,18.9290332794189,18.8158054351807,18.7896518707275,21.6283912658691,24.658670425415,27.2445125579834,28.4963283538818,28.5545177459717,28.0890331268311,27.5433349609375,26.0396728515625,23.8699932098389,19.4580535888672,18.623384475708,19.755350112915,22.3290252685547,23.9949932098389,27.5201568603516,28.3974914550781,27.9137020111084,28.4161224365234,27.7499942779541,26.0540161132812,24.9724903106689,21.1467666625977,19.8483753204346,18.5741291046143,20.9475727081299,25.1199913024902,27.0137004852295,28.3674926757812,28.297571182251,27.9693508148193,27.607494354248,26.5249843597412,23.89914894104,21.6169281005859,20.4491806030273,19.3160648345947,22.2136974334717,24.1066627502441,26.4128913879395,28.2949886322021,27.590311050415,28.0935382843018,27.8474941253662,26.0451488494873,23.3974914550781,20.0016002655029,19.2104759216309,18.9776725769043,22.1516017913818,23.7641620635986,27.3757991790771,27.860818862915,27.4322509765625,27.477409362793,26.9541549682617,25.4161186218262,23.8658218383789,21.3048324584961,20.3766002655029,22.0651702880859,23.4588623046875,25.6966514587402,26.6733798980713,28.6541538238525,28.5249881744385,28.0637016296387,27.249153137207,26.1257915496826,23.8308200836182,21.029016494751,20.7878913879395,20.969820022583,23.3322467803955,23.1958236694336,27.3725681304932,28.4016532897949,28.5096607208252,28.0483798980713,27.6816577911377,25.7354736328125,23.6883220672607,20.0435371398926,28.2396793365479,17.3803234100342,23.8603310585022
