NOGRID,LON,LAT,VAL
147877,117.05,-9.1,32.2693
146870,116.9,-9.05,32.0044
147206,116.95,-9.05,31.9226
147542,117,-9.05,31.8408
147878,117.05,-9.05,31.7589
148214,117.1,-9.05,30.0601
148550,117.15,-9.05,28.3613
145863,116.75,-9,31.2093
146199,116.8,-9,31.6577
146535,116.85,-9,31.5759
146871,116.9,-9,31.4941
147207,116.95,-9,31.4123
147543,117,-9,31.3305
147879,117.05,-9,29.6316
148215,117.1,-9,27.9328
148551,117.15,-9,26.234
148887,117.2,-9,24.5354
149223,117.25,-9,25.4282
149559,117.3,-9,26.321
149895,117.35,-9,27.2139
150231,117.4,-9,28.1066
150567,117.45,-9,28.1094
150903,117.5,-9,28.1121
151239,117.55,-9,28.1149
145864,116.75,-8.95,30.699
146200,116.8,-8.95,31.1474
146536,116.85,-8.95,31.0656
146872,116.9,-8.95,30.9838
147208,116.95,-8.95,30.902
147544,117,-8.95,29.2032
147880,117.05,-8.95,27.5044
148216,117.1,-8.95,25.8056
148552,117.15,-8.95,24.1068
148888,117.2,-8.95,22.4081
149224,117.25,-8.95,23.3009
149560,117.3,-8.95,24.1938
149896,117.35,-8.95,25.0865
150232,117.4,-8.95,25.0893
150568,117.45,-8.95,25.092
150904,117.5,-8.95,25.0948
151240,117.55,-8.95,25.0975
151576,117.6,-8.95,25.1002
142169,116.2,-8.9,25.1007
142505,116.25,-8.9,25.0501
142841,116.3,-8.9,24.9995
143177,116.35,-8.9,24.9489
143513,116.4,-8.9,24.8983
143849,116.45,-8.9,26.4225
144185,116.5,-8.9,27.9468
144521,116.55,-8.9,28.3952
145865,116.75,-8.9,30.1887
146201,116.8,-8.9,30.6371
146537,116.85,-8.9,30.5553
146873,116.9,-8.9,30.4735
147209,116.95,-8.9,28.7747
147545,117,-8.9,27.0759
147881,117.05,-8.9,25.3771
148217,117.1,-8.9,23.6783
148553,117.15,-8.9,21.9795
148889,117.2,-8.9,20.2808
149225,117.25,-8.9,21.1737
149561,117.3,-8.9,22.0664
149897,117.35,-8.9,22.0692
150233,117.4,-8.9,22.0719
150569,117.45,-8.9,22.0747
150905,117.5,-8.9,22.0774
151241,117.55,-8.9,22.0802
151577,117.6,-8.9,22.0829
151913,117.65,-8.9,20.8446
152249,117.7,-8.9,19.6065
152585,117.75,-8.9,20.581
152921,117.8,-8.9,21.5554
153257,117.85,-8.9,22.5299
153593,117.9,-8.9,23.5043
140490,115.95,-8.85,27.3219
140826,116,-8.85,25.3438
141162,116.05,-8.85,25.818
141498,116.1,-8.85,25.7674
141834,116.15,-8.85,25.7168
142170,116.2,-8.85,25.6662
142506,116.25,-8.85,25.6156
142842,116.3,-8.85,25.5651
143178,116.35,-8.85,25.5145
143514,116.4,-8.85,25.4639
146202,116.8,-8.85,30.1268
146538,116.85,-8.85,30.045
146874,116.9,-8.85,28.3462
147210,116.95,-8.85,26.6474
147546,117,-8.85,24.9486
147882,117.05,-8.85,23.2498
148218,117.1,-8.85,21.551
148554,117.15,-8.85,19.8522
148890,117.2,-8.85,18.1536
149226,117.25,-8.85,19.0463
149562,117.3,-8.85,19.0491
149898,117.35,-8.85,19.0518
150234,117.4,-8.85,19.0546
150570,117.45,-8.85,19.0573
150906,117.5,-8.85,19.0601
151242,117.55,-8.85,19.0628
151578,117.6,-8.85,19.0655
151914,117.65,-8.85,17.8274
152250,117.7,-8.85,18.8018
152586,117.75,-8.85,19.7763
152922,117.8,-8.85,20.7507
153258,117.85,-8.85,21.7252
153594,117.9,-8.85,22.6997
135115,115.15,-8.8,35.3147
135451,115.2,-8.8,36.782
137803,115.55,-8.8,41.575
138139,115.6,-8.8,42.2597
139819,115.85,-8.8,32.3687
140155,115.9,-8.8,30.3905
140491,115.95,-8.8,28.4123
140827,116,-8.8,26.4341
141163,116.05,-8.8,26.3836
141499,116.1,-8.8,26.333
141835,116.15,-8.8,26.2824
142171,116.2,-8.8,26.2318
142507,116.25,-8.8,26.1812
142843,116.3,-8.8,26.1306
143179,116.35,-8.8,26.08
143515,116.4,-8.8,26.0294
143851,116.45,-8.8,26.4778
144187,116.5,-8.8,26.9262
146539,116.85,-8.8,27.9178
146875,116.9,-8.8,26.219
147211,116.95,-8.8,24.5202
147547,117,-8.8,22.8214
147883,117.05,-8.8,21.1225
148219,117.1,-8.8,19.4237
148555,117.15,-8.8,17.7249
148891,117.2,-8.8,16.0262
149227,117.25,-8.8,16.029
149563,117.3,-8.8,16.0317
149899,117.35,-8.8,16.0345
150235,117.4,-8.8,16.0372
150571,117.45,-8.8,16.04
150907,117.5,-8.8,16.0427
151243,117.55,-8.8,16.0454
151579,117.6,-8.8,16.0482
151915,117.65,-8.8,17.0227
152251,117.7,-8.8,17.9971
152587,117.75,-8.8,18.9716
152923,117.8,-8.8,19.9461
153259,117.85,-8.8,20.9205
153595,117.9,-8.8,21.895
130076,114.4,-8.75,40.6724
130412,114.45,-8.75,39.0173
130748,114.5,-8.75,37.3621
131084,114.55,-8.75,35.707
137468,115.5,-8.75,39.4197
137804,115.55,-8.75,40.1044
138140,115.6,-8.75,41.1528
139820,115.85,-8.75,31.2618
140156,115.9,-8.75,29.2837
140492,115.95,-8.75,27.3055
140828,116,-8.75,26.1995
141500,116.1,-8.75,26.0983
141836,116.15,-8.75,26.0477
142172,116.2,-8.75,25.9971
142508,116.25,-8.75,25.9465
142844,116.3,-8.75,25.8959
143180,116.35,-8.75,25.8453
143516,116.4,-8.75,25.1377
143852,116.45,-8.75,25.586
144188,116.5,-8.75,26.0344
146204,116.8,-8.75,28.1144
146540,116.85,-8.75,26.4157
146876,116.9,-8.75,24.7169
147212,116.95,-8.75,23.0181
147548,117,-8.75,21.3193
147884,117.05,-8.75,19.6204
148220,117.1,-8.75,17.9216
148556,117.15,-8.75,16.2229
148892,117.2,-8.75,15.0569
149228,117.25,-8.75,15.0597
149564,117.3,-8.75,15.0624
149900,117.35,-8.75,15.0652
150236,117.4,-8.75,15.0679
150572,117.45,-8.75,15.0707
150908,117.5,-8.75,15.0734
151244,117.55,-8.75,15.0761
151580,117.6,-8.75,14.84
151916,117.65,-8.75,15.8144
152252,117.7,-8.75,16.7889
152588,117.75,-8.75,17.7633
152924,117.8,-8.75,18.7378
153260,117.85,-8.75,19.7123
153596,117.9,-8.75,20.6867
130077,114.4,-8.7,43.0604
130413,114.45,-8.7,41.4053
130749,114.5,-8.7,39.7501
131085,114.55,-8.7,38.095
135453,115.2,-8.7,33.8407
135789,115.25,-8.7,34.5254
137133,115.45,-8.7,37.2643
137469,115.5,-8.7,37.9491
137805,115.55,-8.7,38.9975
141501,116.1,-8.7,25.8636
141837,116.15,-8.7,25.813
142173,116.2,-8.7,25.7624
142509,116.25,-8.7,25.7119
142845,116.3,-8.7,25.6613
143181,116.35,-8.7,24.9536
143517,116.4,-8.7,24.2459
143853,116.45,-8.7,24.6943
144189,116.5,-8.7,25.1426
144525,116.55,-8.7,25.591
146205,116.8,-8.7,26.6123
146541,116.85,-8.7,24.9136
146877,116.9,-8.7,23.2148
147213,116.95,-8.7,21.516
147549,117,-8.7,19.8172
